question;option1;option2;option3;option4;correct-option
If a company has all the functions in its value chain, it is called:;Mono-functional business;Mono-product business;Multi-functional business;Multi-product business;Multi-functional business
Apollo Hospitals is an example of:;Healthcare product business;Healthcare financing business;Healthcare service business;Healthcare research business;Healthcare service business
Strategy is essentially based on:;Economy, Industry, company and competitor analysis;Intuition;Instinct;Education;Economy, Industry, company and competitor analysis
Business growth depends primarily on:;Products and markets;Capacities and Finances;Operations and Tactics;Strategies and Tactics;Products and markets
Which of the following statements is not true?;Startups require business development;Single business companies require business development;Multi-business companies require business development;Conglomerates do not require business development;Conglomerates do not require business development
Ford's earliest Model T car concept involved:;Product diversity;Product standardisation;Geographic diversity;Globalisation;Product standardisation
In simple terms, strategy is a:;Way of dreaming;Plan of action;Piece of showmanship;Style of one-upmanship;Plan of action
To have a successful and sustainable strategic journey in the face of new competition, established companies must erect:;Entry routes;Structural barriers;Exit routes;Mobility routes;Structural barriers
Hatsun's sustainable business success in the dairy business has been due to:;Its focus on home supply of milk;Its diversification from milk to a wide range of milk and milk products;Its ownership of all the farms;Government subsidies;Its diversification from milk to a wide range of milk and milk products
Marketing of chemicals falls into the following category:;D2C;B2C;B2B;None of the above;B2B
Target has demonstrated that a retailer can have:;Only one product category under one brand;Only one store format under one brand;Multiple store formats under one brand;None of the above;Multiple store formats under one brand
Amul's business growth is primarily based on its unique foundational model of:;Fertilizers;Starting in the North Indian market;Cooperative dairy movement;Starting in the South Indian market;Cooperative dairy movement
The concept of 'marketing funnel' for a product describes the gap between:;Production capacity and market capacity;Potential demand in the market and actual repetitive purchase;Global demand and local demand;Intra-national demand;Potential demand in the market and actual repetitive purchase
The relationship between market demand and marketing expenditure is called:;Function of expenditure;Function of sales;Market demand function;Financial function;Market demand function
Timeseries analysis, in sales and marketing, is helpful in:;Behavioural studies;Technological studies;Production studies;Demand forecasting;Demand forecasting
Revenue of a company depends:;Only on the scope of the business;Only on the scale of the business;Both on the scale and scope of the business;Neither the scale nor scope of the business;Both on the scale and scope of the business
Fast Moving Consumer Goods (FMCG) companies are usually:;Production driven;Sales and marketing driven;Technology driven;None of the above;Sales and marketing driven
Marico has been integrating sustainability goals as part of its:;Marketing strategy;ESG strategy;Financial strategy;Investor strategy;ESG strategy
Successful business development requires:;Reactive approach;Transactional approach;Proactive approach;Wait and watch approach;Proactive approach
Which of the following is not a factor of market segmentation?;Financial position of the company;Economic factors;Demographic factors;Psychographic factors;Financial position of the company
Successful business development requires:;Only Proof of concept;Only Proof of product;Only Proof of business;Proof of concept, Proof of product and Proof of business;Proof of concept, Proof of product and Proof of business
Continuous new diversified business development, ahead of others, requires investments in:;Existing Products – Existing Markets;Existing Products – New Markets;New Products – Existing Markets;New Products – New Markets;New Products – New Markets
For succeeding, any business requires holistically:;Only Core Competence;Only Strategic Planning;Only Strategic Execution;A combination of Core Competence, Strategic Planning and Strategic Execution;A combination of Core Competence, Strategic Planning and Strategic Execution
New entry happens in an industry facing technological obsolescence when the new entrants have:;Only strong finances;Only proprietary technologies;Proprietary technologies and strong finances;Neither proprietary technologies nor strong finances;Proprietary technologies and strong finances
The threat of substitute products by a firm in an industry is the highest when;The firm has disruptive technologies, relative to other firms;The firm has more products of the same technology;The firm has high finances;When the firm has high capacity;The firm has disruptive technologies, relative to other firms
Automobile and automobile component industries have:;Only B2C business development;Only B2B business development;Only D2C business development;B2C, B2B and D2C business development;B2C, B2B and D2C business development
Which of the following is not an emerging industry?;Artificial Intelligence;Genetics;Iron and Steel;Bio-fertilizer;Iron and Steel
Cost leadership in product design and manufacture can be achieved with:;Higher investments;Higher differentiation;Higher marketing effort;Value engineering;Value engineering
Competitive advantage is the ability of a firm to develop, produce and deliver its products or services with:;Only low cost;Only high quality;High quality and low cost;Basic functionality, and nothing else;High quality and low cost
India's industrial development in the 1960s to 1980s was based on;Technology imports;Technology exports;Digital start-ups;Export oriented consumer goods;Technology imports
An industry typically serves:;Only one market;Only a few segments within one market;Many markets through a product line;Only one market through one product;Many markets through a product line
REITS is an example of:;Financial markets;Commodity markets;Housing markets;Shadow markets;Housing markets
Which of the following represents both backward and forward integration for the Indian finished chemical industry?;Paints and varnishes;Bulk chemicals and intermediates as wells specialty chemicals and pharmaceuticals;Finished chemicals;Pharmaceuticals;Bulk chemicals and intermediates as wells specialty chemicals and pharmaceuticals
Which of the following industries will be directly benefitted by the 'China Plus One' manufacturing programme of MNCs and the developed world?;Coal industry;Consumer electronics;Edible oil industry;Hotel industry;Consumer electronics
For most industries, the umbrella forecast that sets the context is:;Competitor forecast;Company forecast;Microeconomic forecast;Macroeconomic forecast;Macroeconomic forecast
Which digital technology will help in demand forecasting through real-time observation and analysis methodology?;CRM suite;Database analysis;Artificial intelligence;Software coding;Artificial intelligence
Provocative and retaliative competition will lead to:;Better returns;Better collaboration;Better pricing;Higher industry rivalry;Higher industry rivalry
For a company, the largest market is the following:;Secured market;Target market;Available market;Potential market;Potential market
Specialty chemicals are characterized by:;Low price;Low scale;Only MNC play;Technology differentiation;Technology differentiation
In competitor analysis, the following is often ignored as a relevant factor:;Financial strength;Organizational leadership;Physical performance;Financial performance;Organizational leadership
An important difference between a consumer market and a business market for a common product (for example, an air conditioner of 1.5 T capacity) pertains to:;Difference in specifications;Difference in brand name;Difference in sales and marketing approach;No difference at all;Difference in sales and marketing approach
The traditional marketing approach assumes the customer to be:;Proactive;Active;Reactive;Inactive;Reactive
Which of the following is a cultural factor?;Ethnicity;Income;Education;Gender;Ethnicity
A customer typology is a combination of:;Needs;Needs and products;Needs, products and incomes;None of the above;Needs, products and incomes
Design Thinking:;Increases human biases of developers and decreases customer centricity;Decreases human biases of developers and increases customer centricity;Decreases human biases of developers and decreases customer centricity;None of the above;Decreases human biases of developers and increases customer centricity
For products with strong operational economics, high purchase price, and high resale value the marketing emphasis should be on:;Downplaying high purchase price;Talking about operational economics;Emphasising lifecycle costing and value;Highlighting resale value;Emphasising lifecycle costing and value
Which of these is an external macro factor influencing consumer behavior?;Personal income level;Gender;Economic environment;Need awareness;Economic environment
The first step that should be taken by a company towards customer bonding is to achieve:;Customer trial;Customer awareness;Customer loyalty;Customer purchase;Customer awareness
